amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
114-0431687-3029009	114-0431687-3029009	2025-03-26T05:38:12+00:00	2025-03-26T05:38:19+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Beige Modern Abstract Geometric Dining Room Rugs Indoo	G24136-7-Beige-5x7-US-V1	B0DBZ76XQH	Unshipped	1	USD	29.99								JAMAICA	NY	11435-2747	US		false			false
114-5766030-3372236	114-5766030-3372236	2025-03-26T05:09:23+00:00	2025-03-26T08:53:34+00:00	Shipped	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Cream Colorful Vintage Traditional Floral Kitchen Rugs Low Pile Boho Carpet Throw Rugs for	G24268-1A-Cream-3x5-US-V1	B0DBYY5XMP	Shipped	1	USD	38.99	3.41					5.85		KIRKLAND	WA	98033-7407	US	PLM-c9eca6cd-7611-410c-b43f-b7dbb214b7e3	false			false
111-2131256-9761001	111-2131256-9761001	2025-03-26T05:00:39+00:00	2025-03-26T05:00:49+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug - Large Modern Abstract Washable Non-Slip Sage Green Stain Resistant Living Room Rug Rainbow Low-Pile Soft Floor Carpet for Bedroo	N1338-3-Sage Green-6x9-US-V1	B0DBYT5KQ7	Unshipped	1	USD	119.99								OAKLAND	CA	94602-3565	US	PLM-a3d1231f-722c-4255-a1d1-bee9912d9345	false			false
114-3724900-1201047	114-3724900-1201047	2025-03-26T04:55:38+00:00	2025-03-26T05:37:44+00:00	Cancelled	Amazon	Amazon.com			Expedited	LUXRUG 3x5 Washable Area Rug - Small Entryway Rug Non-Slip Beige Abstract Geometric Kitchen Rugs Modern Boho Carpet Throw Rugs for Living Room Bedroom	G24136-7-Beige-3x5-US-V1	B0DBZ697XG	Cancelled	0										JAMAICA	NY	11435-2747	US		false			false
111-3132508-0620259	111-3132508-0620259	2025-03-26T04:38:12+00:00	2025-03-26T04:38:23+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Colorful Low-P	G24267-1A-Cream-6x9-US-V1	B0DBYV567L	Unshipped	1	USD	119.99								Bothell	WA	98021	US	PLM-2e410048-f7d4-47cc-ae75-ced80d7ffc69	false			false
114-2594948-3890665	114-2594948-3890665	2025-03-26T04:22:56+00:00	2025-03-26T07:56:17+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Botanical Floral Washable Rugs for Bedroom Non-Slip Charcoal Black Stain Resistant Dining Room Rug Low-Pil	G24451-4-Blue-6x9-US-V1	B0DQ8SFYYM	Unshipped	1	USD	67.99	6.29							SANTA ANA	CA	92705-5577	US		false			false
112-6033571-7831428	112-6033571-7831428	2025-03-26T03:43:10+00:00	2025-03-26T03:43:19+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Traditional Floral Washable Rugs for Bedroom Non-Slip Cream Stain Resistant Dining Room Rug Colorful Low-P	G24267-1A-Cream-6x9-US-V1	B0DBYV567L	Unshipped	1	USD	119.99								BARRINGTON	NH	03825-3221	US		false			false
112-9896816-2657836	112-9896816-2657836	2025-03-26T03:30:48+00:00	2025-03-26T03:30:56+00:00	Pending	Amazon	Amazon.com			Standard	LUXRUG Washable Area Rug 5x7 - Traditional Floral Living Room Stain Resistant Soft Bedroom Ultra-Thin Charcoal Black Vintage Dining Room for Under Tab	amzn.gr.G24268-7-Black-5x7-US--lhM9JE-VG	B0DBZB9JY5	Unshipped	1	USD	45.99								WEST COVINA	CA	91792-1839	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false			false
111-4755858-9857863	111-4755858-9857863	2025-03-26T01:51:14+00:00	2025-03-26T01:51:22+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG Area Rugs 9x12 Living Room - Large Washable Charcoal Black Boho Rugs for Bedroom Soft Vintage Rug Ultra-Thin Traditional Floral Carpet Stain Re	G24268-7-Black-9x12-US-V1	B0DBYYXW44	Unshipped	1	USD	143.99								TEMECULA	CA	92592-3471	US		false			false
114-4473033-4632223	114-4473033-4632223	2025-03-26T01:43:05+00:00	2025-03-26T01:43:13+00:00	Pending	Amazon	Amazon.com			Standard	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs In	N1338-3-Sage Green-5x7-US-V1	B0DBYV7V8N	Unshipped	1	USD	58.99								SAN PEDRO GARZA GARCIA	NUEVO LEON	66278	MX		false			false
113-6663225-9229037	113-6663225-9229037	2025-03-26T01:39:33+00:00	2025-03-26T01:39:44+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG 6x9 Area Rug for Living Room - Large Botanical Floral Washable Pink Rugs for Bedroom Girls Dining Room Rug Low-Pile Soft Vintage Flower Carpet	G24451-1-Pink--6x9-US-V1	B0DQ8R7236	Unshipped	1	USD	67.99								CARY	NC	27511-4706	US		false			false
112-2910282-1397003	112-2910282-1397003	2025-03-26T01:23:33+00:00	2025-03-26T05:51:51+00:00	Pending	Amazon	Amazon.com			Expedited	LUXRUG Washable Area Rug 5x7 - Boho Living Room Rug Stain Resistant Soft Bedroom Rug Ultra-Thin Sage Green Modern Abstract Rainbow Dining Room Rugs In	N1338-3-Sage Green-5x7-US-V1	B0DBYV7V8N	Unshipped	1	USD	58.99	3.76					8.85		GERMANTOWN	OH	45327-1624	US	PLM-c9eca6cd-7611-410c-b43f-b7dbb214b7e3	false			false
